Name,Bed,Det,Area,Region,Garage,Bed1,Builder,Cost
8,3,0,61.84,2,0,11.45,10,154995
26,3,0,59.24,3,0,9.12,10,173950
26,3,0,61.32,3,0,9.12,10,184995
31,3,1,60.29,2,0,8.34,10,184995
39,3,1,56.94,5,0,8.3,10,184995
9,3,0,74.5,6,1,8.7,11,194995
9,3,0,74.5,4,1,8.7,11,198995
26,3,0,61.32,4,0,9.12,10,199950
21,3,0,67.45,2,0,9.48,10,209995
9,3,0,74.5,6,1,8.7,11,212995
16,3,1,75.7,4,0,10.18,10,219995
27,3,1,75.7,5,1,11.9,10,219995
1,4,1,88.52,4,1,13,10,224995
10,3,0,89.6,6,1,13.59,11,226995
42,4,1,79.45,3,1,18,10,227995
42,4,1,79.45,3,1,18,10,227995
21,3,0,67.45,5,0,9.48,10,229950
22,3,1,93.5,5,1,13.5,10,229995
24,3,1,79,4,1,10.89,10,229995
30,3,0,92.63,2,1,13.18,10,229995
47,4,1,90,3,1,12.9,10,229995
47,4,1,90,3,1,12.9,10,229995
15,3,1,90.5,4,1,10.85,11,234995
4,3,0,70.23,2,0,11.5,10,239950
33,3,0,98.2,6,1,11.94,11,239995
33,3,0,98.2,4,1,11.94,11,244995
7,4,1,88.8,4,1,10.8,10,249995
27,3,1,75.7,3,1,11.9,10,252950
12,4,1,88.8,4,1,16.5,10,254995
21,3,0,73.4,4,1,11.74,10,254995
25,4,0,101.5,4,1,14.3,10,254995
28,4,1,115.37,3,1,25,10,259950
11,4,1,87,5,1,12.3,10,259995
12,4,1,82.34,2,1,13.19,10,264995
17,4,1,101,4,1,17.7,10,264995
43,4,1,111.4,4,1,14,11,265995
24,3,1,79,4,1,10.89,10,269995
43,4,1,111.4,4,1,14,11,269995
43,4,1,111.4,4,1,14,11,272995
18,4,1,104.9,4,1,16.34,10,274995
27,3,1,75.7,4,1,11.9,10,274995
18,4,1,104.9,2,1,16.34,10,279995
37,4,1,109.73,3,1,14.49,10,279995
5,4,1,88.2,3,1,16,10,282950
14,4,1,86.56,4,1,12.4,10,284995
14,4,1,86.56,4,1,12.4,10,284995
17,4,1,95.27,2,1,14.22,10,284995
29,4,1,107.4,4,1,18.15,10,284995
28,4,1,113,5,1,25,10,289995
38,4,1,114,4,1,11.82,11,289995
43,4,1,111.4,6,1,14,11,292995
38,4,1,114,6,1,11.82,11,294995
23,4,1,124.1,4,1,19.8,11,299995
23,4,1,124.1,4,1,19.8,11,299995
37,4,1,109.73,5,1,14.49,10,299995
23,4,1,124.1,4,1,19.8,11,302995
2,4,1,144,6,1,25,11,309995
19,4,1,129.5,4,1,13.9,11,309996
28,4,1,113,5,1,25,10,313995
32,4,1,106.91,5,1,19.23,10,318995
41,4,1,121.34,3,1,24.7,10,318995
41,4,1,121.34,3,1,24.7,10,318995
37,4,1,109.73,3,1,14.49,10,319950
28,4,1,113,4,1,25,10,319995
28,4,1,115.9,3,1,25,10,324950
28,4,1,113,4,1,25,10,324995
2,4,1,144,4,1,25,11,325995
20,4,1,143.6,6,1,14.21,11,326995
5,4,1,93.7,2,1,13.95,10,329950
19,4,1,129.5,6,1,13.9,11,329995
23,4,1,124.1,6,1,19.8,11,329995
37,4,1,109.73,3,1,14.49,10,329995
37,4,1,109.73,5,1,14.49,10,329995
45,4,1,118.36,3,1,14.5,10,333995
45,4,1,118.36,3,1,14.5,10,333995
16,3,1,82.11,3,1,13.11,10,334950
3,4,1,147.8,4,1,10.6,11,337995
2,4,1,144,4,1,25,11,339995
37,4,1,109.73,4,1,14.49,10,339995
37,4,1,109.73,4,1,14.49,10,339995
28,4,1,113,4,1,25,10,343995
34,4,1,158,6,1,18.5,11,352995
32,4,1,115,4,1,21.5,10,353995
6,4,1,154.8,6,1,11.9,11,354995
18,4,1,104.9,5,1,16.3,10,359950
2,4,1,144,4,1,25,11,359995
20,4,1,143.6,6,1,14.21,11,359995
34,4,1,158,4,1,18.5,11,359995
2,4,1,144,6,1,25,11,362995
37,4,1,109.73,4,1,14.49,10,369995
36,4,1,112.33,5,1,15.4,10,374950
35,4,1,166.8,4,1,15.1,11,383995
40,4,1,108.9,5,1,12.4,10,386950
20,4,1,143.6,3,2,14.21,11,389995
32,4,1,106.91,2,1,19.23,10,396950
37,4,1,109.73,2,1,14.49,10,398950
13,4,1,89.55,3,1,16.68,10,399950
35,4,1,166.8,4,1,15.1,11,399995
45,4,1,118.36,2,1,14.5,10,409950
35,4,1,166.8,6,1,15.1,11,412995
6,4,1,154.8,3,2,11.9,11,414995
46,4,1,158.3,3,2,26.6,11,426995
35,4,1,166.8,3,1,15.1,11,429995
44,4,1,116.7,5,2,17.1,10,439950